127.0.0.1 - - [22/Jun/2017:19:59:47 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Jun/2017:19:59:50 +0800] "GET /Test-javascript-01/index.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:00:18 +0800] "GET /Test-javascript-01/index.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:00:18 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:00:18 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:00:21 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8240
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:00:21 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:00:57 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8242
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:00:57 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:01:35 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8240
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:01:35 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:01:55 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8240
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:01:55 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:02:04 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8240
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:02:04 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:03:25 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8242
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:03:25 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:03:25 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:05:26 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8275
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:05:26 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:05:42 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8275
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:05:42 +0800] "GET /Test-javascript-01/resources/js/echarts.min.js HTTP/1.1" 200 643788
0:0:0:0:0:0:0:1 - - [22/Jun/2017:20:19:54 +0800] "GET /Test-javascript-01/echart/bar.jsp HTTP/1.1" 200 8304
