STATUS | wrapper  | 2017/09/01 17:44:16 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/09/01 17:44:16 | Launching a JVM...
INFO   | jvm 1    | 2017/09/01 17:44:19 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/09/01 17:44:19 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/09/01 17:44:19 | 
INFO   | jvm 1    | 2017/09/01 17:44:19 | Java Runtime: Oracle Corporation 1.8.0_45 C:\Program Files\Java\jre1.8.0_45
INFO   | jvm 1    | 2017/09/01 17:44:19 |   Heap sizes: current=121856k  free=112935k  max=932352k
INFO   | jvm 1    | 2017/09/01 17:44:19 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=XSmVpn2W63tVE6AG -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=9268 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2017/09/01 17:44:19 | Extensions classpath:
INFO   | jvm 1    | 2017/09/01 17:44:19 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2017/09/01 17:44:19 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2017/09/01 17:44:19 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2017/09/01 17:44:19 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2017/09/01 17:44:19 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2017/09/01 17:44:20 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2017/09/01 17:44:20 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@73d538e8: startup date [Fri Sep 01 17:44:20 CST 2017]; root of context hierarchy
INFO   | jvm 1    | 2017/09/01 17:44:22 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\MyProject\OnGithub\activeMQ\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | PListStore:[D:\MyProject\OnGithub\activeMQ\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | Apache ActiveMQ 5.15.0 (localhost, ID:x250-2-PC-61240-1504259067321-0:1) is starting
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | Listening for connections at: tcp://x250-2-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | Connector openwire started
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | Listening for connections at: amqp://x250-2-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | Connector amqp started
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | Listening for connections at: stomp://x250-2-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | Connector stomp started
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | Listening for connections at: mqtt://x250-2-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/09/01 17:44:27 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2017/09/01 17:44:28 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@559edebd{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2017/09/01 17:44:28 |  INFO | Listening for connections at ws://x250-2-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/09/01 17:44:28 |  INFO | Connector ws started
INFO   | jvm 1    | 2017/09/01 17:44:28 |  INFO | Apache ActiveMQ 5.15.0 (localhost, ID:x250-2-PC-61240-1504259067321-0:1) started
INFO   | jvm 1    | 2017/09/01 17:44:28 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2017/09/01 17:44:29 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2017/09/01 17:44:29 |  INFO | ActiveMQ WebConsole available at http://0.0.0.0:8161/
INFO   | jvm 1    | 2017/09/01 17:44:29 |  INFO | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/
INFO   | jvm 1    | 2017/09/01 17:44:29 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
INFO   | jvm 1    | 2017/09/01 17:44:30 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2017/09/01 17:44:30 |  INFO | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml
